An error occurred: invalid san: '.Nc1', unable to load chessboard with .Nc1========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Kb7', unable to load chessboard with .Kb7========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Nd3', unable to load chessboard with .Nd3========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.a5', unable to load chessboard with .a5========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Ng4', unable to load chessboard with .Ng4========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Bxg4', unable to load chessboard with .Bxg4========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Qxg4', unable to load chessboard with .Qxg4========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Ne6', unable to load chessboard with .Ne6========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Qf5', unable to load chessboard with .Qf5========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Qe7', unable to load chessboard with .Qe7========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.c3', unable to load chessboard with .c3========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Kc7', unable to load chessboard with .Kc7========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rh1' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rh1========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rf8' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rf8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qg4' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Qg4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nf4' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Nf4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nxf4' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Nxf4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'gxf4' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with gxf4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rh6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rh6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rf6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rf6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rh8' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rh8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rf8' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rf8========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rh6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rh6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rf6' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rf6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rh5' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rh5========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qf7' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Qf7========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rg5' in rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1, unable to load chessboard with Rg5========== End of Environ.load_chessboard ==========


